;General Config settings
"Ecommerce","Ecommerce"
"Squalomail stores","Squalomail stores"
"Store Name","Store Name"
"Store Information","Store Information"
"Subscribe all customers to the newsletter","Subscribe all customers to the newsletter"
"Select product image size to send","Select product image size to send"
"First date","First date"
"Customer amount to be sent per run","Customer amount to be sent per run"
"Product amount to be sent per run","Product amount to be sent per run"
"Order amount to be sent per run","Order amount to be sent per run"
"Orders previous than this value, will be ignored.","Orders previous than this value, will be ignored."
"This will not affect the behaviour of Automations.","This will not affect the behaviour of Automations."
"Reset Squalomail Store","Reset Squalomail Store"
"Resend Ecommerce Data","Resend Ecommerce Data"
"Include tax in product price","Include tax in product price"
"Send product price including tax if ","Send product price including tax if "
"display prices","display prices"
" are configured in the same way."," are configured in the same way."
"Send Promo Rules and Promo Codes","Send Promo Rules and Promo Codes"
"This store is currently in use for this Magento store. Do you want to proceed anyways?","This store is currently in use for this Magento store. Do you want to proceed anyways?"
"This store is currently in use for this Magento store at %s scope. Do you want to proceed anyways?","This store is currently in use for this Magento store at %s scope. Do you want to proceed anyways?"
"Are you sure you want to delete this Squalomail store?","Are you sure you want to delete this Squalomail store?"
"Domain","Domain"
"Email","Email"
"Currency","Currency"
"Locale","Locale"
"Time Zone","Time Zone"
"Phone","Phone"
"Street","Street"
"City","City"
"Postal Code","Postal Code"
"Country","Country"
"The Squalomail store was successfully created.","The Squalomail store was successfully created."
"The Squalomail store was successfully edited.","The Squalomail store was successfully edited."
"The Squalomail store was successfully deleted.","The Squalomail store was successfully deleted."
"A Squalomail store with the same domain already exists in this account. You need to have a different URLs for each scope you set up the ecommerce data. Possible solutions ","A Squalomail store with the same domain already exists in this account. You need to have a different URLs for each scope you set up the ecommerce data. Possible solutions "
"The audience configuration was automatically modified to show the audience associated to the selected Squalomail store.","The audience configuration was automatically modified to show the audience associated to the selected Squalomail store."
"The Squalomail store configuration was not modified. There is a Squalomail audience configured for this scope. Both must be set to inherit at the same time.","The Squalomail store configuration was not modified. There is a Squalomail audience configured for this scope. Both must be set to inherit at the same time."
"Image cache has been flushed please resend the products in order to update image URL.","Image cache has been flushed please resend the products in order to update image URL."

;Catch email settings
"Catch Email on Popup","Catch Email on Popup"
"Popup Heading","Popup Heading"
"Popup Message","Popup Message"
"Ask for first name on popup","Ask for first name on popup"
"Ask for last name on popup","Ask for last name on popup"
"Popup Width","Popup Width"
"Popup Height","Popup Height"
"Subscribe guest customer","Subscribe guest customer"
"Customer can close Popup","Customer can close Popup"
"When popup cancelled show again after","When popup cancelled show again after"
"Limit of times popup will get shown","Limit of times popup will get shown"
"Create popup when customer access the site for the first time to catch email to use later on Abandoned Cart mailing.","Create popup when customer access the site for the first time to catch email to use later on Abandoned Cart mailing."
"This field can be empty.","This field can be empty."
"This is a percentage of the window width.","This is a percentage of the window width."
"This is a percentage of the window height.","This is a percentage of the window height."
"When email confirmed on popup subscribe customer to newsletter.","When email confirmed on popup subscribe customer to newsletter."
"Popup can be closed without giving an email.","Popup can be closed without giving an email."
"This field is in days.","This field is in days."
"If customer doesn't confirm popup, it will be shown this many times each time the customer reload the page.","If customer doesn't confirm popup, it will be shown this many times each time the customer reload the page."

;Abandoned Cart settings
"Abandoned Cart","Abandoned Cart"
"Redirect page","Redirect page"
"Cart amount to be sent per run","Cart amount to be sent per run"
"Carts previous than this value, will be ignored","Carts previous than this value, will be ignored"
"Where to redirect the customer","Where to redirect the customer"

;Mandrill settings
"Mandrill Configuration","Mandrill Configuration"
"Mandrill integration by ebizmarts","Mandrill integration by ebizmarts"
"Account Info","Account Info"
"File is {{base_dir}}/var/log/Ebizmarts_Mandrill.log","File is {{base_dir}}/var/log/Ebizmarts_Mandrill.log"

;Other settings
"Confirm","Confirm"
"Close","Close"
"Not a valid e-mail address","Not a valid e-mail address"
"Newsletter Subscription","Newsletter Subscription"
"Yaay! Recovered by Squalomail's campaign.","Yaay! Recovered by Squalomail's campaign."
"Campaign data could not be retrieved.","Campaign data could not be retrieved."
"Something went wrong when retrieving product information.","Something went wrong when retrieving product information."
"Something went wrong when retrieving product information during migration from 1.1.6.","Something went wrong when retrieving product information during migration from 1.1.6."
"Time passed.","Time passed."
"To begin receiving the newsletter, you must first confirm your subscription","To begin receiving the newsletter, you must first confirm your subscription"
"Add new custom data entry in the column of the right","Add new custom data entry in the column of the right"
"Add new row","Add new row"
"Add after","Add after"
"Newsletter","Newsletter"
"Response was deleted from Squalomail server.","Response was deleted from Squalomail server."
"Please note the extension has been disabled due to the lack of an api key or audience configured.","Please note the extension has been disabled due to the lack of an api key or audience configured."
"There was an error processing the new field. Squalomail tag value can not be numeric.","There was an error processing the new field. Squalomail tag value can not be numeric."
"There was an error processing the new field. Squalomail tag value already exists.","There was an error processing the new field. Squalomail tag value already exists."
"Customer First Name","Customer First Name"
"Customer Last Name","Customer Last Name"
"Synced to Squalomail","Synced to Squalomail"
"Confirmation request has been sent.","Confirmation request has been sent."
"Unexpected error happened during migration from version 1.1.5 to 1.1.6. Please contact our support at ","Unexpected error happened during migration from version 1.1.5 to 1.1.6. Please contact our support at "
" See error details below."," See error details below."
"The item type sent in the filter does not match any of the available options.","The item type sent in the filter does not match any of the available options."
"Webhook successfully created.","Webhook successfully created."
"Webhook call ended","Webhook call ended"
"Coupon was automatically applied.","Coupon was automatically applied."
"If you log in without adding any item to the cart, you will need to re-apply the coupon code manually.","If you log in without adding any item to the cart, you will need to re-apply the coupon code manually."
"Something went wrong when trying to apply the coupon code.","Something went wrong when trying to apply the coupon code."
"The coupon code could not be applied for the current store. Please try to apply it manually.","The coupon code could not be applied for the current store. Please try to apply it manually."
"There was an error processing the new field. Squalomail tag value can not contain blank spaces.","There was an error processing the new field. Squalomail tag value can not contain blank spaces."
"The custom value was added successfully.","The custom value was added successfully."
"Please add an api key and select a audience before enabling the extension.","Please add an api key and select a audience before enabling the extension."
"Base","Base"
"Small","Small"
"Thumbnail","Thumbnail"
"Enabled - Checked by default","Enabled - Checked by default"
"Enabled - Not Checked by default","Enabled - Not Checked by default"
"Enabled - Force subscription hidden","Enabled - Force subscription hidden"
"Enabled - Force subscription","Enabled - Force subscription"
"-- Disabled --","-- Disabled --"
"--- Invalid API KEY ---","--- Invalid API KEY ---"
"--- Select a Squalomail Audience ---","--- Select a Squalomail Audience ---"
"--- No data ---","--- No data ---"
"--- Select a Squalomail Store ---","--- Select a Squalomail Store ---"
"members","members"
"Looks like your Squalomail store was deleted. Attempting to create a new one.","Looks like your Squalomail store was deleted. Attempting to create a new one."
"Total Account Subscribers:","Total Account Subscribers:"
"Total Audience Subscribers:","Total Audience Subscribers:"
"Username:","Username:"
"  Total Customers:","  Total Customers:"
"  Total Products:","  Total Products:"
"  Total Orders:","  Total Orders:"
"  Total Carts:","  Total Carts:"
"Initial sync","Initial Sync"
"In Progress","In Progress"
"Finished","Finished"
"Finished at %s","Finished at %s"
"Ecommerce Data uploaded to Squalomail store ","Ecommerce Data uploaded to Squalomail store "
"No Squalomail store was created for this scope, parent scopes might be sending data for this store anyways.","No Squalomail store was created for this scope, parent scopes might be sending data for this store anyways."
"You can create a new Squalomail store for this scope by configuring a new audience for this scope.","You can create a new Squalomail store for this scope by configuring a new audience for this scope."
"The store data is currently being migrated to the new version. This process might take a while depending on the amount of data in Magento.","The store data is currently being migrated to the new version. This process might take a while depending on the amount of data in Magento."
"--- Enter your API KEY first ---","--- Enter your API KEY first ---"
"A Squalomail store with the same domain already exists in this account. You need to have a different URLs for each scope you set up the ecommerce data. Possible solutions ","A Squalomail store with the same domain already exists in this account. You need to have a different URLs for each scope you set up the ecommerce data. Possible solutions "
"and","and"
"Webhook Key invalid! Key Request: %s - My Key: %s","Webhook Key invalid! Key Request: %s - My Key: %s"
"There was an error on the merge fields creation. Please check the SqualoMail_Errors.log file for more information.","There was an error on the merge fields creation. Please check the SqualoMail_Errors.log file for more information."
"There was an error on the merge fields creation. Please enable the error logs and try again for more information.","There was an error on the merge fields creation. Please enable the error logs and try again for more information."
"The merge fields were successfully created.","The merge fields were successfully created."
"Something went wrong.","Something went wrong."
"Warning: not connected","Warning: not connected"
"Edit Store","Edit Store"
"New Store","New Store"
"Squalomail Store","Squalomail Store"
"Looks like your Squalomail store was deleted. Please create a new one and associate it in order to get your Ecommerce data synced.","Looks like your Squalomail store was deleted. Please create a new one and associate it in order to get your Ecommerce data synced."
"Redirecting... ","Redirecting... "
"At least one type of eCommerce data should be selected to Resend.","At least one type of eCommerce data should be selected to Resend."
"Ecommerce data resent succesfully","Ecommerce data resent succesfully"
"Json error","Json error"
"Json error during migration from 1.1.6","Json error during migration from 1.1.6"
"There is not supported products in this cart.","There is not supported products in this cart."
"Your token cart is incorrect","Your token cart is incorrect"
"Login to complete your order","Login to complete your order"
"This will reset the errors for all Websites and Store Views","This will reset the errors for all Websites and Store Views"
"This will resend the ecommerce data for all Websites and Store Views","This will resend the ecommerce data for all Websites and Store Views"
"This will resend the subscribers for all Websites and Store Views","This will resend the subscribers for all Websites and Store Views"
"This will resend the ecommerce data for %s only.","This will resend the ecommerce data for %s only."
"This will reset the errors for %s only.","This will reset the errors for %s only."
"This will resend the subscribers for %s only.","This will resend the subscribers for %s only."
